fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
3,GraphDTA_Kd,0.0,0,0.0,0,0.547945205479452,2,1.095890410958904,8,0.958904109589041,14,1.0502283105022832,23,0.5781513270397074,0.0060172342830295475,0.04229780890728881
3,GraphDTA_Ki,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.14271603078643288,0.002821102165126967,0.01171722577478723
3,GraphDTA_IC50,27.513023345552767,10,19.259116341886937,14,8.219178082191782,30,4.931506849315069,36,2.671232876712329,39,2.0547945205479454,45,0.711140142770103,0.04799261307552479,0.3445139445448148
3,MLTLE_pKd,2.7513023345552767,1,4.126953501832915,3,3.0136986301369864,11,3.0136986301369864,22,2.0547945205479454,30,1.8721461187214612,41,0.7005530820710837,0.013679868806716821,0.15192823722621965
3,Vina,0.0,0,0.0,0,1.36986301369863,5,1.5068493150684932,11,1.917808219178082,28,1.7808219178082192,39,0.7080300216964981,0.008695790466284473,0.07526876926725533
3,Boltz_affinity,2.7513023345552767,1,6.878255836388192,5,7.945205479452055,29,6.301369863013699,46,4.2465753424657535,62,3.0136986301369864,66,0.8811491515964355,0.03256515496274781,0.3340282489474717
3,Boltz_confidence,13.756511672776384,5,12.380860505498745,9,10.136986301369863,37,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9526191738336564,0.055274995954325,0.4625101277663907
3,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.29939912190496604,0.004172719241538447,0.02549763937884644
3,DrugBAN,5.5026046691105535,2,4.126953501832915,3,1.917808219178082,7,1.643835616438356,12,1.3013698630136987,19,1.3242009132420092,29,0.5778264106344705,0.008886214641799374,0.10068678161210043
3,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.410958904109589,3,0.4794520547945205,7,0.45662100456621,10,0.25772485132539824,0.00327913054810688,0.02028818573389124
3,UniMol_sim,24.76172101099749,9,22.010418676442214,16,14.246575342465754,52,7.534246575342466,55,3.835616438356164,56,2.557077625570776,56,0.7926386398506833,0.08364908935351344,0.5518937682456874
4,GraphDTA_Kd,5.5026046691105535,2,2.7513023345552767,2,1.095890410958904,4,0.821917808219178,6,1.0273972602739727,15,1.0502283105022832,23,0.5061024418457569,0.01944739174091153,0.055632461122424884
4,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.045662100456621,1,0.052380097156281405,0.002641233550621526,0.00014418808051304063
4,GraphDTA_IC50,16.50781400733166,6,12.380860505498745,9,6.027397260273973,22,3.4246575342465753,25,1.917808219178082,28,1.461187214611872,32,0.5949933906306275,0.03860359110005129,0.2522516327534712
4,MLTLE_pKd,8.25390700366583,3,5.5026046691105535,4,1.917808219178082,7,1.917808219178082,14,1.5068493150684932,22,1.552511415525114,34,0.6460482343955637,0.011993484468619541,0.12002351840745151
4,Vina,0.0,0,1.3756511672776384,1,0.821917808219178,3,1.2328767123287672,9,1.4383561643835616,21,1.552511415525114,34,0.6710093458124406,0.007549969082155199,0.05950155720017635
4,Boltz_affinity,0.0,0,2.7513023345552767,2,7.671232876712328,28,5.47945205479452,40,3.9726027397260273,58,2.922374429223744,64,0.8476784167639484,0.025688026685362887,0.2847722482362455
4,Boltz_confidence,13.756511672776384,5,16.50781400733166,12,12.32876712328767,45,9.452054794520548,69,5.0,73,3.3333333333333335,73,0.9593922083790776,0.07267111474102819,0.5232697043070617
4,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.410958904109589,6,0.365296803652968,8,0.3354189780147946,0.008099863156027284,0.02465210207451221
4,DrugBAN,8.25390700366583,3,6.878255836388192,5,1.917808219178082,7,2.191780821917808,16,1.9863013698630136,29,1.8721461187214612,41,0.6235618948854392,0.012226120308420067,0.11974514814870751
4,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.547945205479452,8,0.639269406392694,14,0.2937760886630728,0.003440928943184765,0.016774113156860348
4,UniMol_sim,13.756511672776384,5,17.8834651746093,13,12.054794520547945,44,6.438356164383562,47,3.356164383561644,49,2.4657534246575343,54,0.7501248007292032,0.06272906406336343,0.47282712465422205
5,GraphDTA_Kd,0.0,0,0.0,0,0.273972602739726,1,0.547945205479452,4,0.821917808219178,12,0.958904109589041,21,0.5212962667925778,0.005186807834123858,0.02618832870976132
5,GraphDTA_Ki,0.0,0,0.0,0,0.547945205479452,2,0.273972602739726,2,0.273972602739726,4,0.273972602739726,6,0.16600476415317517,0.002938026058814918,0.019433739605059452
5,GraphDTA_IC50,33.01562801466332,12,24.76172101099749,18,8.219178082191782,30,4.52054794520548,33,2.73972602739726,40,1.9634703196347032,43,0.6846698356878911,0.07363372175563795,0.37129804904191105
5,MLTLE_pKd,2.7513023345552767,1,6.878255836388192,5,1.917808219178082,7,2.4657534246575343,18,1.7123287671232876,25,1.735159817351598,38,0.6504705735812546,0.01045692969827915,0.12235142612822465
5,Vina,5.5026046691105535,2,4.126953501832915,3,1.917808219178082,7,2.0547945205479454,15,1.8493150684931507,27,1.8721461187214612,41,0.7074878506369424,0.010619604506207848,0.11423167678775832
5,Boltz_affinity,2.7513023345552767,1,6.878255836388192,5,7.397260273972603,27,5.7534246575342465,42,3.835616438356164,56,2.8767123287671232,63,0.8632203319458004,0.02975095719463651,0.313725843437284
5,Boltz_confidence,5.5026046691105535,2,9.629558170943469,7,10.684931506849315,39,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9519857558192866,0.053165633063552015,0.4568756438225094
5,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.136986301369863,2,0.182648401826484,4,0.30152483800044605,0.003412029215758059,0.012083087565695769
5,DrugBAN,5.5026046691105535,2,5.5026046691105535,4,2.191780821917808,8,2.73972602739726,20,2.1232876712328768,31,1.643835616438356,36,0.6315221054196829,0.017249792468316656,0.1367859294440431
5,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.410958904109589,6,0.45662100456621,10,0.24009487752148168,0.0031521723183010547,0.011090925587034988
5,UniMol_sim,22.010418676442214,8,17.8834651746093,13,13.972602739726028,51,6.986301369863014,51,3.6301369863013697,53,2.6027397260273974,57,0.8096960269434395,0.09095242331370323,0.5424853038554911
